Province,Damage to Infrastructure (PhP),Damage to Agriculture + Fisheries (PhP),Affected,Deaths,Total_Cyclones,ABC,ContractCost,Total_Projects,Avg_Slippage_Days,Total_Damage_PhP,Damage_Rank,Funding_Rank,Disparity_Index
ABRA,485995356.99,844039460.8,479432.0,9.0,14.0,7667731954.64,7652897214.75,105,209.3047619047619,1330034817.79,53.0,23.0,30.0
AGUSAN DEL NORTE,586142220.0,190720572.88,287043.0,12.0,17.0,9908217025.1,9902944555.32,89,323.75280898876406,776862792.88,58.0,18.0,40.0
AGUSAN DEL SUR,1766720955.47,342262304.5,543985.0,30.0,14.0,3729742720.0,3728921399.76,59,297.10169491525426,2108983259.97,41.0,43.0,-2.0
AKLAN,322972656.0,1991965858.84,1181582.0,26.0,9.0,3072395850.0,3042628549.9900002,60,296.3666666666667,2314938514.84,37.0,51.0,-14.0
ALBAY,14972844376.53,4836518519.809999,4105769.0,31.0,24.0,16178994213.93,16168174428.34,273,205.1904761904762,19809362896.34,3.0,7.0,-4.0
ANTIQUE,153356679.49,1698009049.39,568653.0,14.0,12.0,1807806830.0,1687945308.3,38,327.8157894736842,1851365728.88,43.0,64.0,-21.0
APAYAO,1293352160.8000002,3206585370.44,244745.0,2.0,20.0,1976618597.7,1951896261.99,34,341.5,4499937531.24,25.0,61.0,-36.0
AURORA,423343000.0,1747286806.4,544263.0,9.0,25.0,3097117182.53,3089887328.21,64,244.765625,2170629806.4,39.0,50.0,-11.0
BASILAN,0.0,0.0,0.0,0.0,0.0,617938758.77,615237199.92,10,317.9,0.0,79.0,74.0,5.0
BATAAN,160390700.0,1350392103.88,754466.0,23.0,20.0,4005461097.26,3988567757.9,98,226.25510204081633,1510782803.88,49.0,40.0,9.0
BATANES,0.0,17110248.52,35642.0,0.0,5.0,447109737.68,422128645.99,32,275.28125,17110248.52,72.0,78.0,-6.0
BATANGAS,359070800.0,2856010189.25,440850.0,33.0,23.0,7224077680.95,7137406953.61,190,200.46842105263158,3215080989.25,30.0,25.0,5.0
BENGUET,1119104610.1100001,1247673009.18,131117.0,129.0,25.0,3156895817.9,3145936564.2599998,79,213.56962025316454,2366777619.29,36.0,49.0,-13.0
BILIRAN,605070874.64,865788625.15,476107.0,42.0,14.0,1267732903.93,1249814624.94,73,145.5205479452055,1470859499.79,50.0,69.0,-19.0
