Province,ProvinceTotalHistoricalDamage,DamageShare,ProvinceTotalBudget,BudgetShare,RBAI,Category
ABRA,1330034817.79,0.36976834467287467,7667731954.72,1.3618607364084923,3.6830106092864665,🟥 Over-Allocated / Low-Risk Spending
AGUSAN DEL NORTE,776862792.88,0.2159787586903153,9908217025.12,1.7597917890203332,8.147985476403443,🟥 Over-Allocated / Low-Risk Spending
AGUSAN DEL SUR,2108983259.97,0.5863269431379942,3729742720.0,0.6624371062093152,1.1298084012035725,🟩 Appropriate Priority
AKLAN,2314938514.84,0.6435853943088449,3072395850.0,0.5456861689386204,0.8478846377870962,🟨 Under-Funded / High Vulnerability
ALBAY,19809362896.34,5.507280884101211,19456875398.16,3.455722606687554,0.6274825416411512,🟩 Appropriate Priority
ANTIQUE,1851365728.88,0.5147056541644129,2039406830.0,0.362217681022436,0.7037375208369723,🟨 Under-Funded / High Vulnerability
APAYAO,4499937531.24,1.2510457845177076,1976618597.67,0.3510659051356844,0.2806179513813911,🟨 Under-Funded / High Vulnerability
AURORA,2170629806.4,0.6034655481754901,3097117182.47,0.5500769082395514,0.9115299289290776,🟨 Under-Funded / High Vulnerability
BASILAN,,0.0,617938758.7,0.10975168901939819,inf,Baseline Maintenance
BATAAN,1510782803.88,0.4200188213713033,4005461097.2799997,0.7114072625138474,1.693750913807151,🟩 Appropriate Priority
BATANES,17110248.52,0.004756889208881485,447109737.68,0.07941086102227052,16.693863896179085,Baseline Maintenance
BATANGAS,3215080989.25,0.8938376345362011,7224077680.95,1.2830635980167069,1.435454884020932,🟩 Appropriate Priority
BENGUET,2366777619.29,0.6579973928410722,3428595817.9,0.6089506066442665,0.9254605159071624,🟩 Appropriate Priority
BILIRAN,1470859499.79,0.40891958256208133,1267732903.9299998,0.22516119190272754,0.5506246252428961,🟨 Under-Funded / High Vulnerability
BOHOL,79165207.0,0.022009038527814967,4653195261.04,0.8264508934681256,37.55052236487564,🟥 Over-Allocated / Low-Risk Spending
BUKIDNON,1157368997.77,0.3217648235647072,8069943619.25,1.4332972807326234,4.45448717747851,🟥 Over-Allocated / Low-Risk Spending
BULACAN,5607125830.62,1.5588596697084627,43853057550.24,7.788712177447872,4.996416501624238,🟩 Appropriate Priority
CAGAYAN,16383808693.119999,4.554928742360617,7200862860.0,1.278940429217738,0.28078165467741656,🟩 Appropriate Priority
CALOOCAN CITY,,0.0,3906652667.2799997,0.6938579634463006,inf,🟥 Over-Allocated / Low-Risk Spending
CAMARINES NORTE,4436612367.7,1.2334405003664006,4422518786.52,0.7854805993424236,0.6368208268733612,🟩 Appropriate Priority
